community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 1118,"['expensivelifestyle', 'wedgesshoesheels', 'wedge', 'wedges', 'yellowshoes', 'costume', 'waterbomb', 'expensivelifestyles', 'wedgeshoes', 'shoesonfire', 'mumie', 'wedgesshoes', 'halloweenkostüm', 'costumedesign', 'expensive', 'happyhalloween', 'halloweencountdown', 'wedgeheels', 'kostüm', 'wedgesneakers', 'wedgessneakers']",23.75,,,,,,,,,
community cluster 1119,"['cooloff', 'graz', 'waterchallenge', 'photoshoot', 'toohot', 'hours', 'challengeyourself', 'mesmerizing', 'analogart', 'shoechallenge', 'toohottohandle', 'studioninprantner', 'summertime', 'shoesoftheweek', 'video', 'challengeaccepted', 'happyhalloween', 'digitalart', 'photography', 'wasserbombe', 'meets']",88.35,,,,,,,,,
community cluster 1120,"['photoshooting', 'tbt', 'stars', 'summeroutfit', 'styleinspo', 'shoefie', 'outfitideas', 'moon', 'outfits', 'outfitpost', 'streetartphotography', 'shoegasm', 'outfitinspo', 'ootdfashion', 'coolshoe', 'happyhalloween', 'star', 'ootd', 'styleblogger', 'streetwearfashion', 'shoeporn']",38.949999999999996,,,,,,,,,
community cluster 1121,"['shoestagrammer', 'shoefies', 'shoefiequeen', 'bedifferent', 'vatertag2020', 'shoefielicious', 'shoesofinsta', 'vatertag', 'shoestylist', 'mode', 'fathersday2020', 'shoeaholic', 'fashion', 'modainsta', 'happyhalloween', 'style', 'fathersday', 'austrianblogger', 'details', 'madeinitaly', 'designedinaustria']",45.599999999999994,,,,,,,,,
community cluster 1122,"['stylishshoes', 'myshoestoday', 'highheelsaddiction', 'shoesforwomen', 'pumpshoes', 'pumpshoe', 'stylereport', 'instagramshoes', 'pumps', 'weekendmood', 'highquality', 'instashoes', 'shoesofig', 'happyhalloween', 'highheel', 'highlights', 'designed', 'shoefilicious', 'highheelslover', 'stylingshoes', 'madeinitalyshoes']",26.599999999999998,,,,,,,,,
community cluster 1123,"['fashionshoes', 'watercooling', 'fancyshoes', 'luxuryshoes', 'murinsel', 'trend', 'fashiongram', 'shoesday', 'goneswimming', 'sapatilhalovers', 'sapatosfemininos', 'learntoswim', 'happyhalloween', 'hothothot', 'summer2020', 'shoefreak', 'summervibes', 'shoefan', 'newin', 'worldsfirst', 'sneakerhead']",41.8,,,,,,,,,
community cluster 1124,"['fashionlover', 'walking', 'experience', 'freshstart', 'fashionstatement', 'highheelsshoes', 'streetfashion', 'redheels', 'statement', 'red', 'heels', 'niedagewesen', 'heelslover', 'explore', 'popuplab', 'gefühl', 'highheelmadness', 'heelsaddict', 'highheelsmurah', 'happyhalloween', 'newstart']",29.45,,,,,,,,,
community cluster 1125,"['redhighheels', 'newchallenge', 'lifeischange', 'signalcolor', 'roteschuhe', 'goodtimes', 'uniquewoman', 'uniquewomen', 'chaos', 'newchapter', 'redlove', 'styleinspo2020', 'accessories', 'redshoes', 'rotehighheels', 'happyhalloween', 'unique', 'wien', 'uniquejewelry', 'newshoeintown', 'style2020']",38.949999999999996,,,,,,,,,
community cluster 1126,"['shooting', 'fridayfeet', 'footwearnews', 'damenschuhe', 'fashionable', 'newstyle', 'lifeisbeautiful', 'fashionstyle', 'feetupfriday', 'dressup', 'instashoestyle', 'shoesfashionista', 'lifestyle', 'fashioninspo', 'idontgiveashit', 'blonde', 'feetup', 'happyhalloween', 'newstory', 'fridaymood', 'fridayfeeling']",36.1,,,,,,,,,
community cluster 1127,"['spreadtheword', 'share', 'latenight', 'vote2020', 'teilen', 'together', 'latenightshopping', 'teilenerwünscht', 'firstprize', 'spreadlove', 'stadtgraz', 'winwinwin', 'diesteirerin', 'win', 'dicoverunder5k', '2min2mio', 'winning', 'happyhalloween', 'vote', 'shopping', 'spreadpositivity']",49.4,,,,,,,,,
community cluster 1128,"['new', 'things', 'project', 'zur', 'exclusive', 'shoplocal', 'innovative', 'shoeshop', 'insight', 'größe', 'discover', 'shopdesign', 'designshoes', 'passage', 'designforlife', 'research', 'shop', 'happyhalloween', 'mut', 'insights', 'shopdesigner']",29.45,,,,,,,,,
community cluster 1129,"['architecturedesign', 'designerwear', 'architecturelovers', 'designinterior', 'designboom', 'architecture', 'architecturelover', 'designlover', 'atnight', 'fitting', 'storyteller', 'interiordesign', 'perfectfit', 'happyhalloween', 'influencer', 'industrialdesign', 'design', 'shopdesigns', 'famous', 'designers', 'fairytale']",27.549999999999997,,,,,,,,,
community cluster 1130,"['happyhalloween', 'yellowshoes', 'halloween2020', 'glass', 'story', 'shoediary', 'comic', 'heelerella', 'shoesonfire']",24.8,,,,,,,,,
community cluster 1131,"['bestcostumeever', 'yellowshoes', 'redheels', 'redhighheels', 'bestcostume', 'halloween2020', 'yellowheels', 'firstprize', 'happyhalloween2020', 'shoesonfire']",30.0,,,,,,,,,
community cluster 1132,"['shoesstyle', 'bondingmoments', 'footpainsucks', 'motherhoodunplugged', 'child', 'firstprize', 'batcostume', 'maria', 'motherandbaby', 'footpain', 'footpainrelief', 'mother', 'newshoesdaily', 'bondingmoment', 'bondingtime', 'motherhood', 'bestcostumeever', 'nomore', 'shoesdaily', 'heavenly', 'shoesshoesshoes']",20.9,,,,,,,,,
community cluster 1133,"['nomore', 'footpain', 'yellowshoes', 'redheels', 'redhighheels', 'footpainrelief', 'halloween2020', 'yellowheels', 'batcostume', 'shoesonfire']",28.5,,,,,,,,,
community cluster 1134,"['footpainrelief', 'redheels', 'yellowshoes', 'redhighheels', 'shoesdaily', 'yellowheels', 'newshoesdaily', 'footpainsucks', 'shoesshoesshoes']",21.7,,,,,,,,,
community cluster 1135,"['shoesstyle', 'yellowshoes', 'redheels', 'redhighheels', 'shoesdaily', 'halloween2020', 'yellowheels', 'newshoesdaily', 'footpainsucks', 'shoesshoesshoes', 'motherhood', 'shoesonfire']",29.4,,,,,,,,,
community cluster 1136,"['motherhoodunplugged', 'yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'yellowheels', 'mother', 'motherandbaby', 'maria', 'shoesonfire']",28.5,,,,,,,,,
community cluster 1137,"['redheels', 'yellowshoes', 'redhighheels', 'child', 'yellowheels', 'bondingmoments', 'maria', 'bondingmoment', 'bondingtime']",21.7,,,,,,,,,
community cluster 1138,"['yellowshoes', 'redheels', 'redhighheels', 'child', 'halloween2020', 'yellowheels', 'bondingmoments', 'bondingmoment', 'heavenly', 'bondingtime', 'shoesonfire', 'fashionphotography']",32.199999999999996,,,,,,,,,
community cluster 1139,"['new', 'vienna', 'shoedazzlegirl', 'share', 'igersheaven', 'statementpiece', 'museumsquartier', 'together', 'firstprize', 'goddess', 'shoefashionista', 'stadtgraz', 'pandemic', 'shoesfromheaven', 'paradise', 'shoesofthefuture', 'austria', 'firstfashioninfluencer', 'firstfashionista', 'shoes2021', 'fashionphotography']",76.95,,,,,,,,,
community cluster 1140,"['österreich', 'summertime', 'shooting', 'shoesfromheaven', 'yellowshoes', 'paradise', 'photoshooting', 'austrianblogger', 'halloween2020', 'yellowheels', 'redheels', 'redhighheels', 'summervibes', 'firstfashionista', 'shoesonfire']",95.0,,,,,,,,,
community cluster 1141,"['firstfashioninfluencer', 'redheels', 'yellowshoes', 'redhighheels', 'yellowheels', 'shoedazzlegirl', 'shoefashionista', 'firstfashionista', 'statementpiece']",21.7,,,,,,,,,
community cluster 1142,"['firstfashioninfluencer', 'yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'yellowheels', 'shoedazzlegirl', 'shoefashionista', 'shoesofthefuture', 'shoes2021', 'statementpiece', 'shoesonfire']",29.4,,,,,,,,,
community cluster 1143,"['yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'yellowheels', 'goddess', 'igersheaven', 'austria', 'pandemic', 'shoesonfire']",73.5,,,,,,,,,
community cluster 1144,"['vienna', 'redheels', 'yellowshoes', 'redhighheels', 'spreadtheword', 'yellowheels', 'firstprize', 'Museen', 'austria', 'museumsquartier', 'Pandemie']",88.45,,,,,,,,,
community cluster 1145,"['österreich', 'vienna', 'redheels', 'yellowshoes', 'redhighheels', 'photoshooting', 'halloween2020', 'yellowheels', 'firstprize', 'austrianblogger', 'Museen', 'museumsquartier', 'shoesonfire', 'Pandemie']",71.5,,,,,,,,,
community cluster 1146,"['österreich', 'shooting', 'lockdown2020', 'spreadtheword', 'theshowmustgoon', 'igersvienna', 'firstprize', 'bittersweet', 'mumokwien', 'share', 'architekturzentrumwien', 'mumok', 'reboot2020', 'announcement', 'leopoldmuseum', 'stadtgraz', 'lockdown', 'mumokmuseum']",59.400000000000006,,,,,,,,,
community cluster 1147,"['yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'bittersweet', 'yellowheels', 'mumokwien', 'mumok', 'leopoldmuseum', 'shoesonfire']",28.5,,,,,,,,,
community cluster 1148,"['lockdown2020', 'redheels', 'yellowshoes', 'redhighheels', 'photoshooting', 'yellowheels', 'architekturzentrumwien', 'mumok', 'lockdown', 'mumokmuseum']",37.5,,,,,,,,,
community cluster 1149,"['lockdown2020', 'yellowshoes', 'theshowmustgoon', 'redhighheels', 'redheels', 'halloween2020', 'yellowheels', 'igersvienna', 'architekturzentrumwien', 'wien', 'lockdown', 'mumokmuseum', 'shoesonfire']",59.400000000000006,,,,,,,,,
community cluster 1150,"['redheels', 'redhighheels', 'igersvienna', 'firstprize', 'shoes4life', 'handmade', 'dashoes', 'announcement', 'reboot2020', 'wien', 'exploretheworld', 'staypositive']",49.0,,,,,,,,,
community cluster 1151,"['yellowshoes', 'halloween2020', 'yellowheels', 'shoes4life', 'dashoes', 'announcement', 'reboot2020', 'shoesonfire', 'staypositive']",24.8,,,,,,,,,
community cluster 1152,"['shoesoftheyear', 'yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'handmade', 'yellowheels', 'firstprize', 'exploretheworld', 'highheelsfetish', 'shoesonfire']",37.699999999999996,,,,,,,,,
community cluster 1153,"['summertime', 'redheels', 'europe', 'redhighheels', 'firstprize', 'yellowheels', 'summervibes', 'highheellover', 'igerseurope', 'explore', 'happyme', 'highheelsfetish']",72.8,,,,,,,,,
community cluster 1154,"['yellowshoes', 'europe', 'redheels', 'redhighheels', 'halloween2020', 'goodtimes', 'firstprize', 'highheellover', 'igerseurope', 'architecture', 'moda', 'happyme', 'lifeisbeautiful', 'interiordesign', 'shoesonfire']",46.25,,,,,,,,,
community cluster 1155,"['statementoutfit', 'redheels', 'yellowshoes', 'redhighheels', 'fashionista', 'statementshoes', 'yellowheels', 'firstprize', 'moda', 'shoesonfire']",30.0,,,,,,,,,
community cluster 1156,"['statementoutfit', 'fashionista', 'statementshoes', 'redheels', 'redhighheels', 'halloween2020', 'yellowheels', 'firstprize', 'mummy', 'yellowshoes', 'toiletpaper', 'shoesonfire']",33.599999999999994,,,,,,,,,
community cluster 1157,"['share', 'latenight', 'vote2020', 'teilen', 'together', 'teilenerwünscht', 'firstprize', 'spreadlove', 'stadtgraz', 'halloween', 'halloween2020', 'halloweencostume', 'worthafortune', 'diesteirerin', 'dicoverunder5k', '2min2mio', 'worthamillion', 'vote', 'shopping', 'spreadpositivity', 'toiletpaper']",43.699999999999996,,,,,,,,,
community cluster 1158,"['halloween', 'yellowshoes', 'redheels', 'redhighheels', 'halloween2020', 'yellowheels', 'halloweencostume', 'worthafortune', 'worthamillion', 'shoesonfire']",31.5,,,,,,,,,
community cluster 1159,"['redhighheels', 'heels2020', 'cooloff', 'splash', 'highheels2020', 'redheels', 'yellowshoes', 'slowmotion', 'waterbomb', 'womenshoes', 'halloween', 'yellowhighheels', 'halloween2020', 'newhighheels', 'yellowheel', 'shoes2020', 'yellowheels', 'slowmo', 'wasserbombe', 'heelsonfire']",30.0,,,,,,,,,
community cluster 1160,"['expensivelifestyle', 'wedgesshoesheels', 'wedge', 'wedges', 'halloweencorona', 'costume', 'expensivelifestyles', 'wedgeshoes', 'shoesonfire', 'halloween2020', 'mumie', 'wedgesshoes', 'halloweenkostüm', 'costumedesign', 'expensive', 'halloweencountdown', 'coronacostume', 'wedgeheels', 'kostüm', 'wedgesneakers', 'wedgessneakers']",23.75,,,,,,,,,
community cluster 1161,"['photoshooting', 'graz', 'waterchallenge', 'photoshoot', 'toohot', 'hours', 'challengeyourself', 'mesmerizing', 'summeroutfit', 'analogart', 'shoechallenge', 'toohottohandle', 'studioninprantner', 'summertime', 'shoesoftheweek', 'halloween2020', 'video', 'challengeaccepted', 'digitalart', 'photography', 'meets']",95.0,,,,,,,,,
community cluster 1162,"['tbt', 'stars', 'shoefielicious', 'shoesofinsta', 'styleinspo', 'shoefie', 'outfitideas', 'moon', 'halloween2020', 'outfits', 'outfitpost', 'streetartphotography', 'shoegasm', 'outfitinspo', 'coolshoe', 'ootdfashion', 'star', 'ootd', 'styleblogger', 'streetwearfashion', 'shoeporn']",34.199999999999996,,,,,,,,,
community cluster 1163,"['shoestagrammer', 'shoefies', 'shoefiequeen', 'bedifferent', 'vatertag2020', 'vatertag', 'shoestylist', 'mode', 'fathersday2020', 'halloween2020', 'shoeaholic', 'fashion', 'modainsta', 'style', 'fathersday', 'austrianblogger', 'highlights', 'highheelslover', 'details', 'madeinitaly', 'designedinaustria']",46.55,,,,,,,,,
community cluster 1164,"['stylishshoes', 'myshoestoday', 'highheelsaddiction', 'shoesforwomen', 'pumpshoes', 'pumpshoe', 'stylereport', 'instagramshoes', 'pumps', 'weekendmood', 'highquality', 'halloween2020', 'instashoes', 'learntoswim', 'shoesofig', 'highheel', 'designed', 'shoefilicious', 'summervibes', 'stylingshoes', 'madeinitalyshoes']",44.65,,,,,,,,,
community cluster 1165,"['fashionshoes', 'watercooling', 'fancyshoes', 'luxuryshoes', 'murinsel', 'trend', 'fashiongram', 'niedagewesen', 'shoesday', 'popuplab', 'goneswimming', 'sapatilhalovers', 'halloween2020', 'sapatosfemininos', 'hothothot', 'summer2020', 'shoefreak', 'shoefan', 'newin', 'worldsfirst', 'sneakerhead']",25.65,,,,,,,,,
community cluster 1166,"['fashionlover', 'redhighheels', 'walking', 'experience', 'freshstart', 'fashionstatement', 'highheelsshoes', 'streetfashion', 'redheels', 'statement', 'red', 'heels', 'heelslover', 'explore', 'gefühl', 'halloween2020', 'highheelmadness', 'heelsaddict', 'redlove', 'highheelsmurah', 'newstart']",31.349999999999998,,,,,,,,,
community cluster 1167,"['newchallenge', 'lifeisbeautiful', 'lifeischange', 'signalcolor', 'roteschuhe', 'goodtimes', 'uniquewoman', 'uniquewomen', 'chaos', 'lifestyle', 'newchapter', 'halloween2020', 'styleinspo2020', 'accessories', 'redshoes', 'rotehighheels', 'unique', 'wien', 'uniquejewelry', 'newshoeintown', 'style2020']",43.699999999999996,,,,,,,,,
community cluster 1168,"['shooting', 'fridayfeet', 'footwearnews', 'spreadtheword', 'damenschuhe', 'fashionable', 'newstyle', 'fashionstyle', 'feetupfriday', 'dressup', 'instashoestyle', 'shoesfashionista', 'fashioninspo', 'halloween2020', 'idontgiveashit', 'blonde', 'feetup', 'winning', 'newstory', 'fridaymood', 'fridayfeeling']",33.25,,,,,,,,,
community cluster 1169,"['new', 'things', 'project', 'zur', 'exclusive', 'latenightshopping', 'shoplocal', 'innovative', 'shoeshop', 'größe', 'discover', 'shopdesign', 'designshoes', 'halloween2020', 'passage', 'winwinwin', 'win', 'designforlife', 'research', 'shop', 'mut']",38.0,,,,,,,,,
community cluster 1170,"['shoebrand', 'designerwear', 'architecturelovers', 'designinterior', 'designboom', 'architecture', 'architecturelover', 'insight', 'designlover', 'atnight', 'dezeen', 'halloween2020', 'interiordesign', 'insights', 'industrialdesign', 'design', 'shopdesigns', 'shopdesigner', 'designmilk', 'designers', 'architecturedesign']",27.549999999999997,,,,,,,,,
community cluster 1171,"['cinderella', 'shoesonfire', 'first', 'influencer', 'perfectfit', 'halloween2020', 'fitting', 'storyteller', 'cinderellastory', 'famous', 'fairytale', 'brandnewshoes', 'noshoestoday']",24.3,,,,,,,,,
community cluster 1172,"['redheels', 'yellowshoes', 'halloweencorona', 'redhighheels', 'costume', 'yellowheels', 'firstprize', 'halloweencountdown', 'coronacostume', 'shoesonfire']",25.5,,,,,,,,,
community cluster 1173,"['expensivelifestyle', 'redheels', 'redhighheels', 'costume', 'yellowheels', 'firstprize', 'expensivelifestyles', 'costumedesign', 'expensive']",21.7,,,,,,,,,
community cluster 1174,"['expensivelifestyle', 'yellowshoes', 'redheels', 'redhighheels', 'yellowheels', 'firstprize', 'mumie', 'halloweenkostüm', 'expensivelifestyles', 'costumedesign', 'expensive', 'shoesonfire']",26.599999999999998,,,,,,,,,
community cluster 1175,"['redheels', 'yellowshoes', 'redhighheels', 'yellowheels', 'firstprize', 'wedgesshoes', 'wedge', 'kostüm', 'shoesonfire', 'wedges']",25.5,,,,,,,,,
community cluster 1176,"['redheels', 'redhighheels', 'yellowheels', 'firstprize', 'wedgeheels', 'wedgessneakers', 'wedgeshoes', 'wedgesneakers', 'wedge']",21.7,,,,,,,,,
community cluster 1177,"['wedgesshoesheels', 'yellowshoes', 'redheels', 'redhighheels', 'yellowhighheels', 'newhighheels', 'yellowheels', 'firstprize', 'wedgeheels', 'yellowheel', 'wedgeshoes', 'wedgesneakers', 'heelsonfire', 'shoesonfire', 'wedgessneakers']",27.5,,,,,,,,,
community cluster 1178,"['heels2020', 'cooloff', 'splash', 'waterchallenge', 'highheels2020', 'toohot', 'challengeyourself', 'slowmotion', 'mesmerizing', 'waterbomb', 'womenshoes', 'shoechallenge', 'toohottohandle', 'shoesonfire', 'video', 'challengeaccepted', 'shoes2020', 'digitalart', 'slowmo', 'wasserbombe', 'meets']",23.75,,,,,,,,,
community cluster 1179,"['photoshooting', 'graz', 'photoshoot', 'hours', 'summeroutfit', 'analogart', 'shoesonfire', 'outfitideas', 'studioninprantner', 'shoesoftheweek', 'summertime', 'outfits', 'outfitpost', 'streetartphotography', 'shoegasm', 'outfitinspo', 'ootdfashion', 'ootd', 'photography', 'streetwearfashion', 'shoeporn']",95.0,,,,,,,,,
community cluster 1180,"['shoestagrammer', 'shoefies', 'tbt', 'shoefiequeen', 'vatertag2020', 'stars', 'shoefielicious', 'shoesofinsta', 'styleinspo', 'vatertag', 'shoefie', 'shoesonfire', 'shoestylist', 'moon', 'fathersday2020', 'shoeaholic', 'coolshoe', 'fathersday', 'star', 'details', 'styleblogger']",28.5,,,,,,,,,
community cluster 1181,"['highheelsaddiction', 'pumpshoes', 'pumpshoe', 'stylereport', 'bedifferent', 'pumps', 'shoesonfire', 'mode', 'weekendmood', 'highquality', 'fashion', 'modainsta', 'instashoes', 'style', 'austrianblogger', 'highlights', 'highheel', 'designed', 'highheelslover', 'madeinitaly', 'designedinaustria']",48.449999999999996,,,,,,,,,
community cluster 1182,"['fashionshoes', 'stylishshoes', 'myshoestoday', 'shoesforwomen', 'fancyshoes', 'luxuryshoes', 'fashiongram', 'instagramshoes', 'shoesday', 'shoesonfire', 'goneswimming', 'sapatilhalovers', 'learntoswim', 'shoesofig', 'shoefilicious', 'summervibes', 'shoefan', 'stylingshoes', 'newin', 'sneakerhead', 'madeinitalyshoes']",39.9,,,,,,,,,
community cluster 1183,"['watercooling', 'walking', 'experience', 'freshstart', 'murinsel', 'highheelsshoes', 'trend', 'heels', 'niedagewesen', 'heelslover', 'explore', 'shoesonfire', 'popuplab', 'gefühl', 'sapatosfemininos', 'heelsaddict', 'hothothot', 'summer2020', 'shoefreak', 'worldsfirst', 'newstart']",25.65,,,,,,,,,
community cluster 1184,"['fashionlover', 'redhighheels', 'fashionstatement', 'streetfashion', 'redheels', 'signalcolor', 'statement', 'roteschuhe', 'uniquewoman', 'uniquewomen', 'red', 'shoesonfire', 'highheelmadness', 'redlove', 'accessories', 'redshoes', 'rotehighheels', 'highheelsmurah', 'unique', 'uniquejewelry', 'style2020']",27.549999999999997,,,,,,,,,
community cluster 1185,"['fridayfeet', 'newshoeintown', 'fashionable', 'newstyle', 'newchallenge', 'lifeisbeautiful', 'fashionstyle', 'lifeischange', 'goodtimes', 'dressup', 'chaos', 'lifestyle', 'fashioninspo', 'shoesonfire', 'newchapter', 'styleinspo2020', 'feetup', 'newstory', 'fridaymood', 'wien', 'fridayfeeling']",43.699999999999996,,,,,,,,,
community cluster 1186,"['shooting', 'footwearnews', 'spreadtheword', 'damenschuhe', 'share', 'vote2020', 'feetupfriday', 'together', 'teilenerwünscht', 'firstprize', 'instashoestyle', 'spreadlove', 'shoesfashionista', 'shoesonfire', 'idontgiveashit', 'blonde', 'winwinwin', 'win', 'winning', 'vote', 'spreadpositivity']",41.8,,,,,,,,,
community cluster 1187,"['new', 'things', 'zur', 'latenight', 'teilen', 'latenightshopping', 'shoplocal', 'stadtgraz', 'shoeshop', 'größe', 'shoesonfire', 'discover', 'designshoes', 'passage', 'diesteirerin', 'designforlife', 'shop', 'dicoverunder5k', '2min2mio', 'mut', 'shopping']",40.85,,,,,,,,,
community cluster 1188,"['project', 'exclusive', 'designerwear', 'designinterior', 'innovative', 'architecture', 'architecturelover', 'insight', 'designlover', 'atnight', 'shoesonfire', 'shopdesign', 'research', 'interiordesign', 'insights', 'industrialdesign', 'design', 'shopdesigns', 'shopdesigner', 'architecturelovers', 'architecturedesign']",25.65,,,,,,,,,
community cluster 1189,"['shoesonfire', 'shoebrand', 'cinderella', 'first', 'dezeen', 'yellowshoes', 'influencer', 'fitting', 'brandnewshoes', 'storyteller', 'cinderellastory', 'famous', 'designmilk', 'designboom', 'fairytale', 'designers', 'noshoestoday']",23.0,,,,,,,,,
community cluster 1190,"['heels2020', 'cooloff', 'splash', 'waterchallenge', 'highheels2020', 'yellowshoes', 'slowmotion', 'mesmerizing', 'waterbomb', 'womenshoes', 'shoechallenge', 'yellowhighheels', 'newhighheels', 'yellowheel', 'video', 'challengeaccepted', 'shoes2020', 'yellowheels', 'slowmo', 'wasserbombe', 'heelsonfire']",25.65,,,,,,,,,
community cluster 1191,"['photoshooting', 'graz', 'photoshoot', 'toohot', 'hours', 'yellowshoes', 'challengeyourself', 'summeroutfit', 'analogart', 'toohottohandle', 'studioninprantner', 'summertime', 'shoesoftheweek', 'shoeporn', 'shoegasm', 'ootdfashion', 'ootd', 'digitalart', 'photography', 'streetwearfashion', 'meets']",95.0,,,,,,,,,
community cluster 1192,"['shoestagrammer', 'shoefies', 'tbt', 'shoefiequeen', 'yellowshoes', 'stars', 'shoefielicious', 'shoesofinsta', 'styleinspo', 'shoefie', 'outfitideas', 'shoestylist', 'moon', 'shoeaholic', 'outfits', 'outfitpost', 'streetartphotography', 'outfitinspo', 'coolshoe', 'star', 'styleblogger']",27.549999999999997,,,,,,,,,
community cluster 1193,"['highheelsaddiction', 'bedifferent', 'vatertag2020', 'yellowshoes', 'vatertag', 'mode', 'weekendmood', 'fathersday2020', 'highquality', 'fashion', 'modainsta', 'instashoes', 'style', 'fathersday', 'austrianblogger', 'highlights', 'highheel', 'highheelslover', 'details', 'madeinitaly', 'designedinaustria']",48.449999999999996,,,,,,,,,
community cluster 1194,"['stylishshoes', 'myshoestoday', 'shoesforwomen', 'pumpshoes', 'pumpshoe', 'stylereport', 'fancyshoes', 'yellowshoes', 'instagramshoes', 'pumps', 'shoesday', 'goneswimming', 'learntoswim', 'shoesofig', 'designed', 'shoefilicious', 'summervibes', 'shoefan', 'stylingshoes', 'sneakerhead', 'madeinitalyshoes']",38.949999999999996,,,,,,,,,
community cluster 1195,"['fashionshoes', 'watercooling', 'walking', 'experience', 'luxuryshoes', 'murinsel', 'trend', 'fashiongram', 'yellowshoes', 'heels', 'niedagewesen', 'explore', 'popuplab', 'sapatilhalovers', 'gefühl', 'sapatosfemininos', 'hothothot', 'summer2020', 'shoefreak', 'newin', 'worldsfirst']",27.549999999999997,,,,,,,,,
community cluster 1196,"['fashionlover', 'redhighheels', 'freshstart', 'fashionstatement', 'highheelsshoes', 'streetfashion', 'yellowshoes', 'redheels', 'signalcolor', 'statement', 'roteschuhe', 'red', 'heelslover', 'highheelmadness', 'heelsaddict', 'redlove', 'accessories', 'redshoes', 'rotehighheels', 'highheelsmurah', 'newstart']",26.599999999999998,,,,,,,,,
community cluster 1197,"['fashionable', 'newstyle', 'newchallenge', 'lifeisbeautiful', 'fashionstyle', 'yellowshoes', 'lifeischange', 'goodtimes', 'uniquewoman', 'uniquewomen', 'chaos', 'lifestyle', 'fashioninspo', 'newchapter', 'styleinspo2020', 'newstory', 'unique', 'wien', 'uniquejewelry', 'newshoeintown', 'style2020']",42.75,,,,,,,,,
community cluster 1198,"['shooting', 'fridayfeet', 'footwearnews', 'spreadtheword', 'damenschuhe', 'feetupfriday', 'together', 'yellowshoes', 'dressup', 'firstprize', 'instashoestyle', 'spreadlove', 'shoesfashionista', 'idontgiveashit', 'blonde', 'winwinwin', 'win', 'feetup', 'winning', 'fridaymood', 'fridayfeeling']",38.949999999999996,,,,,,,,,
community cluster 1199,"['zur', 'share', 'latenight', 'vote2020', 'teilen', 'yellowshoes', 'latenightshopping', 'teilenerwünscht', 'shoplocal', 'stadtgraz', 'größe', 'designshoes', 'passage', 'diesteirerin', 'shop', 'dicoverunder5k', '2min2mio', 'mut', 'vote', 'shopping', 'spreadpositivity']",41.8,,,,,,,,,
community cluster 1200,"['new', 'things', 'project', 'exclusive', 'yellowshoes', 'innovative', 'architecture', 'architecturelover', 'shoeshop', 'insight', 'designlover', 'atnight', 'discover', 'shopdesign', 'designforlife', 'research', 'insights', 'design', 'shopdesigns', 'shopdesigner', 'architecturelovers']",27.549999999999997,,,,,,,,,
community cluster 1201,"['shoebrand', 'yellowshoes', 'dezeen', 'designers', 'designmilk', 'industrialdesign', 'yellowheels', 'fitting', 'brandnewshoes', 'designerwear', 'storyteller', 'noshoestoday', 'designinterior', 'designboom', 'interiordesign', 'perfectfit', 'architecturedesign']",25.299999999999997,,,,,,,,,
community cluster 1202,"['heels2020', 'cooloff', 'splash', 'waterchallenge', 'highheels2020', 'challengeyourself', 'slowmotion', 'mesmerizing', 'waterbomb', 'womenshoes', 'shoechallenge', 'newhighheels', 'yellowhighheels', 'yellowheel', 'video', 'challengeaccepted', 'shoes2020', 'yellowheels', 'slowmo', 'wasserbombe', 'heelsonfire']",24.7,,,,,,,,,
community cluster 1203,"['photoshooting', 'graz', 'photoshoot', 'toohot', 'hours', 'summeroutfit', 'analogart', 'meets', 'toohottohandle', 'studioninprantner', 'summertime', 'shoesoftheweek', 'streetartphotography', 'shoegasm', 'ootdfashion', 'yellowheels', 'ootd', 'digitalart', 'photography', 'streetwearfashion', 'shoeporn']",95.94999999999999,,,,,,,,,
community cluster 1204,"['shoestagrammer', 'shoefies', 'tbt', 'shoefiequeen', 'stars', 'shoefielicious', 'shoesofinsta', 'styleinspo', 'shoefie', 'outfitideas', 'shoestylist', 'moon', 'shoeaholic', 'outfits', 'outfitpost', 'outfitinspo', 'coolshoe', 'star', 'yellowheels', 'details', 'styleblogger']",28.5,,,,,,,,,
community cluster 1205,"['highheelsaddiction', 'bedifferent', 'vatertag2020', 'vatertag', 'mode', 'weekendmood', 'fathersday2020', 'highquality', 'fashion', 'modainsta', 'instashoes', 'style', 'fathersday', 'austrianblogger', 'highlights', 'yellowheels', 'highheel', 'designed', 'highheelslover', 'madeinitaly', 'designedinaustria']",49.4,,,,,,,,,
