community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 200,"['nextlevel', 'newchapter', 'graz', 'igersgraz', 'glitter', 'austria']",35.0,-0.017857142857142905
community cluster 201,"['flowers', 'citylife', 'carlover', 'igersgraz', 'awareness', 'naturelovers', 'austria', 'igersaustria']",63.0,-0.1886792452830188
community cluster 202,"['summervibes', 'sunnyday', 'marryicetea', 'vibe', 'fun', 'sunglasses', 'austria', 'mindset']",55.0,-0.2033898305084746
community cluster 203,"['cargirl', 'winter', 'throwback', '2k19', 'babyitscoldoutside', 'christmastime', 'austria', 'winterwonderland']",32.0,-0.3384615384615385
community cluster 204,"['hikingadventures', 'breathtakingviews', 'summerbody', 'vacation', 'newfamilymember', 'austria', 'croatia', 'sofree']",33.0,-0.19393939393939388
community cluster 205,"['bmw', 'austin', 'dowhatyoulove', 'relax', 'beach', 'luxury', 'christmastree', 'austria']",22.0,-0.36538461538461536
community cluster 206,"['presents', 'nextlevel', 'newchapter', 'igersgraz', 'beautiful', 'glitter', 'austria', 'igersaustria']",55.0,-0.19298245614035087
community cluster 207,"['flowers', 'summervibes', 'sunnyday', 'marryicetea', 'christmastime', 'igersgraz', 'sunglasses', 'igersaustria']",86.0,-0.3384615384615385
community cluster 208,"['winter', 'throwback', '2k19', 'home', 'babyitscoldoutside', 'croatia', 'igersgraz', 'winterwonderland']",63.0,-0.44999999999999996
community cluster 209,"['supporteachother', 'tb', 'brand', 'nature', 'summerbody', 'vacation', 'igersgraz', 'cold']",66.0,-0.03092783505154641
community cluster 210,"['adventuretime', 'growth', 'family', 'styria', 'roadtrip', 'igersgraz', 'vacationmode', 'memories']",73.0,-0.15789473684210534
community cluster 211,"['nextlevel', 'relax', 'newchapter', 'igersgraz', 'beautiful', 'christmastree', 'igersaustria']",67.5,-0.0934065934065934
community cluster 212,"['sunnyday', 'citylife', 'fun', 'marryicetea', 'christmastime', 'naturelovers', 'sunglasses', 'igersaustria']",58.0,-0.28125
community cluster 213,"['winter', 'throwback', '2k19', 'babyitscoldoutside', 'nature', 'cold', 'winterwonderland', 'igersaustria']",60.0,-0.47619047619047616
community cluster 214,"['supporteachother', 'family', 'hikingadventures', 'mountains', 'styria', 'vacation', 'igersaustria', 'memories']",70.0,-0.02083333333333326
community cluster 215,"['adventuretime', 'flowers', 'traveling', 'relax', 'vacationmode', 'igersaustria']",63.75,-0.18367346938775508
community cluster 216,"['catlover', 'flowers', 'styria', 'summervibes', 'sunnyday', 'nature', 'cat', 'sunglasses']",76.0,-0.08510638297872336
community cluster 217,"['presents', 'catlover', 'family', 'flowers', 'colours', 'christmastree', 'memories']",39.375,-0.14285714285714293
community cluster 218,"['flowers', 'sunnyday', 'citylife', 'carlover', 'cat', 'awareness', 'naturelovers', 'vibe']",37.0,-0.10416666666666656
community cluster 219,"['blackouttuesday', 'winter', 'vibes', 'flowers', 'babyitscoldoutside', 'marryicetea', 'christmastime', 'sunglasses']",38.0,-0.07777777777777778
community cluster 220,"['cargirl', 'throwback', '2k19', 'flowers', 'hikingadventures', 'nature', 'winterwonderland', 'sofree']",54.0,-0.28333333333333327
community cluster 221,"['bmw', 'flowers', 'tb', 'mountains', 'breathtakingviews', 'vacation', 'luxury', 'newfamilymember']",46.0,-0.4590163934426229
community cluster 222,"['family', 'austin', 'styria', 'flowers', 'citylife', 'colours', 'beautiful', 'glitter']",56.0,-0.30000000000000004
community cluster 223,"['throwback', 'summervibes', 'sunnyday', 'citylife', 'fun', 'naturelovers', 'sunglasses', 'croatia']",71.0,-0.1111111111111111
community cluster 224,"['hikingadventures', 'tb', 'relax', 'citylife', 'beach', 'vacation', 'beautiful', 'vacationmode']",59.0,-0.202
community cluster 225,"['adventuretime', 'traveling', 'flyinggarden', 'styria', 'beach', 'plantslover', 'naturelovers', 'vacationmode']",44.0,-0.1688311688311689
community cluster 226,"['throwback', 'lend', 'summervibes', 'sunnyday', 'fun', 'nature', 'naturelovers', 'croatia']",78.0,-0.09677419354838715
community cluster 227,"['beautiful', 'hikingadventures', 'tb', 'mountains', 'sunset', 'vacation', 'awareness', 'naturelovers']",56.0,-0.21874999999999992
community cluster 228,"['grazgoals', 'family', 'styria', 'magicalmoments', 'roadtrip', 'awareness', 'findthemagic', 'autumn']",38.0,-0.0677966101694916
community cluster 229,"['blackouttuesday', 'cargirl', 'home', 'summervibes', 'carlover', 'vibe', 'awareness', 'mindset']",41.0,-0.09782608695652166
community cluster 230,"['throwback', 'tb', 'mountains', 'breathtakingviews', 'nature', 'awareness', 'croatia', 'sofree']",55.0,-0.12499999999999994
community cluster 231,"['bmw', 'austin', 'carlover', 'luxury', 'awareness', 'newfamilymember']",15.0,-0.4518272425249169
community cluster 232,"['winter', 'beautiful', 'nature', 'carlover', 'christmastime', 'cat', 'sofree', 'autumn']",45.0,-0.2826086956521739
community cluster 233,"['family', 'styria', 'feelingblessed', 'carlover', 'roadtrip', 'vibe', 'autumncolors']",40.5,-0.4000000000000001
community cluster 234,"['blackouttuesday', 'cargirl', 'throwback', 'home', 'summervibes', 'carlover', 'vibe', 'mindset']",49.0,-0.11702127659574466
community cluster 235,"['austin', 'tb', 'mountains', 'breathtakingviews', 'carlover', 'vacation', 'vibe', 'croatia']",43.0,-0.1444444444444445
community cluster 236,"['blackouttuesday', 'cargirl', 'throwback', 'home', 'summervibes', 'nature', 'vibe', 'mindset']",62.0,-0.11702127659574466
community cluster 237,"['bmw', 'tb', 'mountains', 'breathtakingviews', 'vacation', 'vibe', 'newfamilymember', 'sofree']",38.0,-0.4406779661016949
community cluster 238,"['austin', 'dowhatyoulove', 'styria', 'summervibes', 'roadtrip', 'luxury', 'vibe']",52.875,-0.21428571428571427
community cluster 239,"['carsofinstagram', 'family', 'styria', 'sunnyday', 'vw', 'beach', 'vacationmode', 'vwpolo']",46.0,-0.22580645161290322
community cluster 240,"['blackouttuesday', 'vibes', 'summervibes', 'sunnyday', 'fun', 'marryicetea', 'cat', 'sunglasses']",57.0,-0.06741573033707855
community cluster 241,"['cargirl', 'throwback', 'summervibes', 'babyitscoldoutside', 'nature', 'christmastime', 'winterwonderland', 'sofree']",60.0,-0.3582089552238805
community cluster 242,"['bmw', 'hikingadventures', 'tb', 'breathtakingviews', 'mountains', 'summervibes', 'vacation', 'newfamilymember']",56.0,-0.5599999999999999
community cluster 243,"['adventuretime', 'family', 'traveling', 'relax', 'summervibes', 'vacationmode', 'christmastree', 'memories']",61.0,-0.15789473684210534
community cluster 244,"['presents', 'newchapter', 'summervibes', 'sunnyday', 'achieverofunrealisticshit', 'colours', 'beautiful', 'glitter']",44.0,-0.34285714285714286
community cluster 245,"['sunnyday', 'fun', 'marryicetea', 'babyitscoldoutside', 'christmastime', 'cat', 'sunglasses', 'winterwonderland']",44.0,-0.352112676056338
community cluster 246,"['throwback', 'hikingadventures', 'tb', 'relax', 'sunnyday', 'nature', 'vacation', 'croatia']",70.0,-0.09677419354838715
community cluster 247,"['sunnyday', 'fun', 'sunglasses', 'cat', 'colours', 'beautiful', 'glitter', 'christmastree']",42.0,-0.19298245614035087
community cluster 248,"['sleepycat', 'family', 'styria', 'besttimeoftheyear', 'luna', 'achieverofunrealisticshit', 'saturdaymood', 'mindset']",36.0,-0.21621621621621612
community cluster 249,"['blackouttuesday', 'cargirl', 'throwback', 'tb', 'nature', 'sofree', 'vacation', 'mindset']",58.0,-0.10752688172043012
community cluster 250,"['blackouttuesday', 'bmw', 'austin', 'mountains', 'breathtakingviews', 'luxury', 'newfamilymember', 'mindset']",25.0,-0.09782608695652166
community cluster 251,"['presents', 'blackouttuesday', 'family', 'catlifestyle', 'styria', 'catadventures', 'cutecat', 'cat']",38.0,-0.2580645161290323
community cluster 252,"['winter', 'hikingadventures', 'nature', 'fun', 'christmastime', 'sunset', 'cat', 'sofree']",56.0,-0.2978723404255319
community cluster 253,"['blackouttuesday', 'cargirl', 'throwback', 'mountains', 'vacation', 'newfamilymember', 'croatia', 'sofree']",47.0,-0.07777777777777778
community cluster 254,"['blackouttuesday', 'family', 'bmw', 'austin', 'roadtrip', 'luxury', 'achieverofunrealisticshit', 'fun']",39.0,-0.1530612244897959
community cluster 255,"['snow', 'home', 'mountains', 'marryicetea', 'sunset', 'vacation', 'fun', 'sunglasses']",60.0,-0.23913043478260868
community cluster 256,"['adventuretime', 'traveling', 'styria', 'relax', 'chemistrylifestyle', 'chemists', 'fun', 'sunglasses']",51.0,-0.20987654320987656
community cluster 257,"['throwback', 'family', 'babyitscoldoutside', 'nature', 'marryicetea', 'christmastime', 'sunglasses', 'winterwonderland']",57.0,-0.26315789473684215
community cluster 258,"['presents', 'relax', 'glitter', 'marryicetea', 'vacationmode', 'colours', 'sunglasses', 'christmastree']",37.0,-0.23333333333333334
community cluster 259,"['presents', 'family', 'styria', 'haídi', 'heuvodka', 'squadgoals', 'marryicetea', 'rooftopparty']",39.0,-0.24590163934426226
community cluster 260,"['throwback', 'home', 'babyitscoldoutside', 'marryicetea', 'croatia', 'christmastime', 'vacation', 'winterwonderland']",53.0,-0.21126760563380279
community cluster 261,"['vibes', 'tb', 'styria', 'marryicetea', 'sunset', 'beautiful', 'glitter']",56.25,-0.2162162162162163
community cluster 262,"['adventuretime', 'throwback', 'vibes', 'traveling', 'nature', 'beach', 'vacation', 'memories']",56.0,-0.14666666666666664
community cluster 263,"['presents', 'vibes', 'relax', 'glitter', 'christmastime', 'beautiful', 'vacationmode', 'christmastree']",38.0,-0.23333333333333334
community cluster 264,"['styria', 'lend', 'aeijstgin', 'lendhotelgraz', 'newjewelry', 'gooddrinks', 'christmastime', 'beautiful']",33.0,-0.43333333333333335
community cluster 265,"['winter', 'lend', 'nature', 'christmastime', 'sunset', 'vacation']",57.5,-0.26339285714285715
community cluster 266,"['winter', 'throwback', 'babyitscoldoutside', 'croatia', 'christmastime', 'winterwonderland']",43.75,-0.5467032967032968
community cluster 267,"['adventuretime', 'winter', 'timetoshine', 'styria', 'babyitscoldoutside', 'beautiful', 'vacationmode', 'thanksgurl']",48.0,-0.15789473684210534
community cluster 268,"['winter', '2k19', 'mountains', 'babyitscoldoutside', 'sunset', 'vacation', 'cold', 'croatia']",49.0,-0.36538461538461536
community cluster 269,"['presents', 'throwback', 'babyitscoldoutside', 'glitter', 'vacation', 'vacationmode', 'christmastree', 'winterwonderland']",46.0,-0.3783783783783784
community cluster 270,"['throwback', 'babyitscoldoutside', 'nature', 'croatia', 'achieverofunrealisticshit', 'beautiful', 'winterwonderland', 'sofree']",55.0,-0.30864197530864196
community cluster 271,"['snow', 'energeticorange', 'family', 'home', 'styria', 'relax', 'achieverofunrealisticshit', 'vwpoloedition']",46.0,-0.4927536231884058
community cluster 272,"['cargirl', 'throwback', 'home', 'mountains', 'breathtakingviews', 'vacation', 'newfamilymember', 'sofree']",44.0,-0.32812499999999994
community cluster 273,"['cargirl', 'bmw', 'austin', 'home', 'styria', 'luxury']",36.25,-0.040178571428571425
community cluster 274,"['styria', 'relax', 'whiteandorange', 'roadtrip', 'vacationmode', 'christmastree', 'winterwonderland', 'memories']",51.0,-0.46875
community cluster 275,"['cargirl', 'throwback', 'tb', 'breathtakingviews', 'nature', 'vacation', 'croatia', 'sofree']",60.0,-0.1886792452830188
community cluster 276,"['cargirl', 'throwback', 'family', 'mountains', 'roadtrip', 'achieverofunrealisticshit', 'newfamilymember']",42.75,-0.4149659863945578
community cluster 277,"['throwback', '2k19', 'brand', 'nature', 'winterwonderland', 'vacation', 'cold', 'croatia']",59.0,-0.08196721311475402
community cluster 278,"['presents', 'throwback', 'nature', 'winterwonderland', 'glitter', 'croatia']",55.0,-0.2698412698412699
community cluster 279,"['adventuretime', 'throwback', 'family', 'traveling', 'styria', 'vibey', 'roadtrip', 'memories']",54.0,-0.15789473684210534
community cluster 280,"['throwback', '2k19', 'tb', 'nature', 'vacation', 'cold', 'croatia', 'sofree']",62.0,-0.017543859649122747
community cluster 281,"['throwback', 'bmw', 'austin', 'breathtakingviews', 'sunset', 'beach', 'luxury', 'vacationmode']",39.0,-0.17647058823529405
community cluster 282,"['throwback', '2k19', 'relax', 'nature', 'vacation', 'colours', 'christmastree', 'croatia']",60.0,-0.050847457627118675
community cluster 283,"['2k19', 'styria', 'nature', 'roadtrip', 'vacation', 'vacationmode', 'croatia', 'memories']",72.0,-0.309090909090909
community cluster 284,"['bmw', 'hikingadventures', 'tb', 'breathtakingviews', 'nature', 'newfamilymember', 'croatia', 'sofree']",44.0,-0.5074626865671642
community cluster 285,"['family', 'austin', 'styria', 'nature', 'luxury', 'vacationmode', 'croatia']",68.625,-0.2736842105263158
community cluster 286,"['bmw', 'hikingadventures', 'mountains', 'breathtakingviews', 'nature', 'vacation', 'newfamilymember', 'sofree']",47.0,-0.5540540540540541
community cluster 287,"['adventuretime', 'family', 'traveling', 'styria', 'nature', 'roadtrip', 'beach', 'Naturelover']",58.0,-0.12328767123287679
community cluster 288,"['colddays', 'readyforsnow', 'christmasiscoming', 'styria', 'lateautumn', 'Coronavirus', 'cold', 'winteriscoming']",24.0,-0.27272727272727276
community cluster 289,"['growth', 'styria', 'changeyourlife', 'brand', 'growthmindset', 'abundance', 'changeyourmindset', 'cold']",26.0,-0.3220338983050848
community cluster 290,"['family', 'styria', 'unicornsarereal', 'summerbody', 'roadtrip', 'achieverofunrealisticshit', 'sofree', 'vacationgoals']",39.0,-0.5589041095890411
community cluster 291,"['bmw', 'tb', 'mountains', 'breathtakingviews', 'vacation', 'luxury', 'newfamilymember', 'sofree']",38.0,-0.4590163934426229
community cluster 292,"['adventuretime', 'family', 'austin', 'styria', 'traveling', 'vacation', 'sofree', 'memories']",55.0,-0.11111111111111123
community cluster 293,"['adventuretime', 'traveling', 'styria', 'hikingadventures', 'noregrets', 'roadtrip', 'beach', 'vacationmodeon']",38.0,-0.14666666666666664
community cluster 294,"['hikingadventures', 'mountains', 'tb', 'breathtakingviews', 'vacation', 'beautiful', 'vacationmode']",57.375,-0.1658536585365853
community cluster 295,"['bmw', 'sunset', 'roadtrip', 'luxury', 'vacation', 'beach', 'vacationmode', 'newfamilymember']",44.0,-0.4210526315789473
community cluster 296,"['presents', 'tb', 'mountains', 'breathtakingviews', 'vacation', 'achieverofunrealisticshit', 'glitter', 'christmastree']",38.0,-0.3783783783783784
community cluster 297,"['bmw', 'austin', 'tb', 'mountains', 'breathtakingviews', 'styria', 'luxury', 'newfamilymember']",40.0,-0.4406779661016949
community cluster 298,"['adventuretime', 'family', 'traveling', 'tb', 'relax', 'breathtakingviews', 'roadtrip', 'beach']",45.0,-0.21951219512195122
community cluster 299,"['bmw', 'austin', 'styria', 'mountains', 'breathtakingviews', 'roadtrip', 'luxury', 'newfamilymember']",37.0,-0.48437499999999994
community cluster 300,"['experiences', 'adventuretime', 'family', 'traveling', 'styria', 'mountains', 'roadtrip', 'vacationmode']",55.0,-0.08823529411764694
community cluster 301,"['bmw', 'austin', 'mountains', 'luxury', 'newfamilymember']",20.625,-0.46122448979591835
community cluster 302,"['welcometothefamily', 'family', 'styria', 'lakes', 'roadtrip', 'achieverofunrealisticshit', 'lafamilia', 'newfamilymember']",37.0,-0.03738317757009355
community cluster 303,"['family', 'bmw', 'styria', 'austin', 'herefortheview', 'roadtrip', 'luxury', 'achieverofunrealisticshit']",39.0,-0.48888888888888893
community cluster 304,"['adventuretime', 'family', 'traveling', 'styria', 'relax', 'mindsetgoals', 'sunset', 'dream']",52.0,-0.14666666666666664
community cluster 305,"['family', 'austin', 'goallin', 'styria', 'luxuryvibe', 'roadtrip', 'luxury', 'achieverofunrealisticshit']",38.0,-0.4721311475409836
community cluster 306,"['beautifulplace', 'family', 'austin', 'styria', 'roadtrip', 'luxury', 'achieverofunrealisticshit', 'memories']",42.0,-0.11235955056179764
community cluster 307,"['beyourownbrand', 'personaldevelopmentcoach', 'styria', 'dowhatyoulove', 'personaldevelopment', 'environmentalprotection', 'animalprotection', 'spirituality']",23.0,-0.19811320754716982
community cluster 308,"['adventuretime', 'supporteachother', 'traveling', 'styria', 'czechrepublic', 'whatdoyouwanttobe', 'earlymornings', 'successmindset']",29.0,-0.24705882352941178
community cluster 309,"['girlstrip', 'sisters', 'styria', 'omiš', 'roadtrip', 'beach', 'birthdayvacation', 'vacationmode']",38.0,-0.08474576271186442
community cluster 310,"['presents', 'bmwlife', 'calmyourmind', 'styria', 'relax', 'christmas2020', 'glitter', 'christmastree']",33.0,-0.2580645161290323
community cluster 311,"['drivinghomeforchristmas', 'styria', 'newchapter', 'vwgolf', 'golffamily', 'vwgolf8rline', 'christmasathome', 'inspired']",23.0,0.050359712230215826
community cluster 312,"['mondsteingrau', 'mindsetmatters', 'styria', 'sunsetlover', 'newcar', 'nightsky', 'desire', 'newadventures']",22.0,0.03999999999999986
